#Gal_Name,Redshift,twomass_Ks,twomass_Ks_err,twomass_H,twomass_H_err,twomass_J,twomass_J_err,bessell_B,bessell_B_err,galex_NUV,galex_NUV_err,galex_FUV,galex_FUV_err,wise_w1,wise_w1_err,wise_w2,wise_w2_err,wise_w3,wise_w3_err,wise_w4,wise_w4_err,spitzer_mips_24,spitzer_mips_24_err,spitzer_irac_ch4,spitzer_irac_ch4_err,sdss_z0,sdss_z0_err,sdss_i0,sdss_i0_err,sdss_r0,sdss_r0_err,sdss_g0,sdss_g0_err,sdss_u0,sdss_u0_err,spitzer_irac_ch3,spitzer_irac_ch3_err,spitzer_irac_ch2,spitzer_irac_ch2_err,spitzer_irac_ch1,spitzer_irac_ch1_err,bessell_R,bessell_R_err,bessell_U,bessell_U_err,bessell_V,bessell_V_err,spitzer_mips_160,spitzer_mips_160_err,spitzer_mips_70,spitzer_mips_70_err
2MASX J00445922-0853228,0.01936,6.52592180882e-06,3.08454971082e-07,8.13505321373e-06,1.89479482236e-07,6.52592180882e-06,1.17598457725e-07,0.00000000000000000,0.00000000000000000,1.86987028997e-08,8.96447259708e-10,1.99949476425e-09,4.48912145414e-10,2.43508726456e-06,4.76753854284e-08,1.27640367678e-06,2.28170340065e-08,8.71968233392e-07,4.08239645679e-08,9.54464649073e-07,2.46993333736e-07,1.25601645772e-06,1.7722390526e-08,8.56713479468e-07,2.45524648857e-09,5.03598532279e-06,1.32194987607e-08,4.38041326893e-06,7.57367116497e-09,3.12886662067e-06,7.05039933903e-09,1.75216530757e-06,3.52519966951e-09,3.96323105284e-07,3.41503717984e-09,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2MASX J01365130-0848250,0.039964,5.86030173118e-07,9.50151473423e-08,6.24702214998e-07,7.90415863399e-08,3.71846556547e-07,5.6458275957e-08,6.5147516707e-08,7.05039933903e-09,2.18645775249e-09,2.92206003856e-10,1.00249831645e-09,2.63288350317e-10,2.12897484158e-07,4.90151327968e-09,1.25789400274e-07,4.61220275779e-09,2.42860376229e-07,3.00275925023e-08,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,3.6292223919e-07,6.58220875792e-09,4.16468143332e-07,2.12889011292e-09,2.21620547702e-07,1.25309832002e-09,1.16908557378e-07,8.81299917378e-10,2.65647179997e-08,1.74607546131e-09,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2MASX J02562504-2121280,0.115,1.43508184527e-06,1.29716331589e-07,1.35357618266e-06,1.14568989259e-07,1.12943561048e-06,7.02285871661e-08,1.07703911309e-07,1.1925089507e-08,1.85570928268e-09,3.88460479207e-10,3.87151897407e-10,2.86422473148e-10,5.92579371941e-07,1.23930340472e-08,3.77589619634e-07,8.5548670351e-09,2.70603035168e-07,2.24014491778e-08,6.2458542835e-07,1.73621034042e-07,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2MASX J03103162+0416184,0.023166,6.89892391736e-06,2.50068851556e-07,8.08401514243e-06,1.61938859818e-07,6.34870299143e-06,1.15395207932e-07,0.00000000000000000,0.00000000000000000,7.77504493018e-09,4.52630129441e-10,6.09475487178e-11,9.1434866428e-11,2.6749183458e-06,3.84749109168e-08,1.40599587506e-06,1.9380623083e-08,7.53870351365e-07,4.51806523838e-08,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2MASX J03472342+0052316,0.039,3.51798843848e-06,2.34095290554e-07,4.20217015844e-06,1.91407325806e-07,3.32845161065e-06,1.26411456899e-07,2.56568144987e-07,1.78738639493e-08,1.08197791593e-08,3.99614431286e-10,2.96324650337e-10,1.07683833655e-10,1.25206400196e-06,1.71753819897e-08,6.56296437065e-07,1.00831898809e-08,8.24162146177e-07,3.57256047314e-08,1.4820806865e-06,2.41528340636e-07,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,2.63502419176e-06,1.17873863949e-08,2.56105860042e-06,4.21371522996e-09,1.21580940778e-06,2.64665381438e-09,5.08513440516e-07,1.71027265216e-09,6.0559327916e-08,3.63536215918e-09,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2MASX J07353554-6246099,0.011325,4.03248638181e-06,2.42908289727e-07,5.21756011287e-06,1.80666483063e-07,4.28729745709e-06,1.20352519967e-07,0.00000000000000000,0.00000000000000000,8.54223795224e-08,2.28036353622e-09,6.11748811684e-08,3.37648030845e-09,1.30255037826e-06,2.04223822984e-08,7.42451427408e-07,1.16407220214e-08,3.05900835716e-06,4.02876343666e-08,4.12705111566e-06,2.04474294927e-07,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2MASX J09591870-1928233,0.012122,1.93204599468e-06,1.59460203801e-07,2.53943486188e-06,1.18975488846e-07,1.98088128048e-06,7.38088680804e-08,0.00000000000000000,0.00000000000000000,4.03654159235e-09,3.359955935e-10,1.64208648521e-10,1.40870283668e-10,5.64586551944e-07,1.64223176082e-08,2.97854418192e-07,9.65393850163e-09,1.20480472887e-07,3.63462114694e-08,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2MASX J10064866-0741124,0.055,1.95063049291e-06,1.32745800055e-07,2.20907364969e-06,9.30873037731e-08,1.81525550602e-06,6.41696502341e-08,7.96866400099e-07,8.31726797026e-08,3.24746133322e-08,2.02836684109e-09,1.678342167e-08,2.45249242633e-09,1.09345906505e-06,2.16360328945e-08,7.0579088698e-07,1.51291055872e-08,3.26278655075e-06,8.60800369277e-08,6.86827772404e-06,4.36015912739e-07,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2MASX J11432825+2140266,0.069201,1.68638338548e-06,9.83200220325e-08,1.71842175722e-06,9.39135224456e-08,1.33687387554e-06,5.3428807491e-08,0.00000000000000000,0.00000000000000000,6.42806240372e-09,5.9487744423e-10,4.80429947211e-09,8.02809143487e-10,7.60316699436e-07,1.65541316781e-08,4.42250208716e-07,1.07844485897e-08,7.34143002183e-07,3.70834802124e-08,1.08802743871e-06,2.53948960636e-07,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
2MASX J12052488-2123572,0.03193,4.15983095439e-06,2.3850179014e-07,4.63253901739e-06,1.63591297163e-07,3.87620611659e-06,1.11264114569e-07,0.00000000000000000,0.00000000000000000,3.1419329254e-08,1.8245662352e-09,1.77738231687e-08,2.35747727899e-09,1.62337378817e-06,3.13601135512e-08,1.26442200847e-06,2.23904373613e-08,4.24233210332e-06,7.17086847385e-08,1.20687932611e-05,3.59429177359e-07,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
