2MASX J00445922-0853228
2MASX J03472342+0052316
2MASX J12312585+0607391
2MASX J13583377+3847504
2MASX J14593310+1640070
2MASX J15060265+0733415
2MASX J15322270+4150586
2MFGC 13321
CGCG 018-062
CGCG 101-008
CGCG 218-007
CGCG 245-033
CGCG 249-011
CGCG 266-031
IC 0986
IC 1044
IC 1780
IC 3284
IC 3918
IC 4229
IC 4239
KUG 1107+236
MCG +00-06-03
MCG +01-29-03
MCG +01-34-05
MCG +01-34-13
MCG +02-23-27
MCG +03-22-20
MCG +03-27-38
MCG +03-31-93
MCG +04-37-55
MCG +06-30-79
MCG +08-17-43
MCG +09-21-83
MCG +10-19-01
MCG +11-12-23
NGC 1082
NGC 2577
NGC 2765
NGC 3327
NGC 3368
NGC 3665
NGC 3746
NGC 3947
NGC 3978
NGC 4036
NGC 4055
NGC 4070
NGC 4172
NGC 4579
NGC 4636
NGC 5177
NGC 5532
NGC 5587
NGC 5681
NGC 5683
NGC 5708
NGC 5837
NGC 6343
NGC 6456
NGC 6462
NGC 7364
NGC 799
NGC 809
PGC 29306
PGC 58009
UGC 10301
UGC 4614
UGC 4798
UGC 5129
UGC 5378
UGC 6015
UGC 8162
UGC 8472
UGC 8670
UGC 9396
UGC 9612
UGC 9761
UGC 9766
UGC 9798
2MASX J01365130-0848250
2MASX J02562504-2121280
2MASX J03103162+0416184
2MASX J07353554-6246099
2MASX J09591870-1928233
2MASX J10064866-0741124
2MASX J11432825+2140266
2MASX J12052488-2123572
2MASX J13031054-2159149
2MASX J14201699-2211186
2MASX J14564322+0919361
2MASX J15453055-1309057
2MASX J16174359+3457534
2MASX J17353788+0848387
2MASX J18383792+4131473
2MASX J21382451-0445392
2MASX J21471478+0749383
2MASX J22040319-1013059
2MASX J22253147+3859010
2MASX J22532475+0447583
2MASX J23101188+0732541
2MASX J23122598+1354503
2MASXi J1604144+164124
2MFGC 01973
2MFGC 17765
2dFGRS N237Z045
2dFGRS N252Z116
AGC211492
CGCG 077-100
CGCG 108-013
CGCG 233-023
CGCG 301-013
CGCG 336-041
CGCG 452-024
CGCG 473-011
CGCG 475-012
CGCG 503-021
ESO 286-G75
ESO 44-G10
ESO 462-G16
ESO 472-G007
ESO 472-G13
ESO 544-G31
FGC 2126
GALEXASC J000802.78-363
GALEXASC J003445.02-060
GALEXASC J031313.01+020
IC 1277
IC 1427
IC 1610
IC 1956
IC 3900
IC 4329
IC 5179
IC 807
IC 850
KUG 0114+326
KUG 0136+335
MCG +00-11-12
MCG +01-01-29
MCG +01-59-81
MCG +02-08-14
MCG +03-06-031
MCG +04-35-18
MCG +05-26-47
MCG +05-40-02
MCG +05-52-04
MCG +06-06-12
MCG +10-24-07
MCG +11-08-12
MCG +11-19-25
MCG +12-09-21
MCG +12-11-15
MCG -01-23-08
MCG -01-33-12
MCG -01-33-34
MCG -01-39-03
MCG -02-01-14
MCG -02-02-86
MCG -02-35-11
MCG -03-10-52
MCG -03-23-11
MCG -04-12-34
MRK 842
NGC 1139
NGC 1200
NGC 1201
NGC 1275
NGC 1316
NGC 1365
NGC 1380
NGC 1404
NGC 1562
NGC 1578
NGC 1961
NGC 2268
NGC 2314
NGC 232
NGC 2442
NGC 2554
NGC 2623
NGC 2775
NGC 2811
NGC 2924
NGC 2954
NGC 3190
NGC 3370
NGC 3447
NGC 3627
NGC 3735
NGC 382
NGC 3861
NGC 3905
NGC 3972
NGC 3982
NGC 4321
NGC 4424
NGC 4462
NGC 4501
NGC 4526
NGC 4536
NGC 4639
NGC 4666
NGC 4753
NGC 4786
NGC 495
NGC 5005
NGC 5018
NGC 5038
NGC 5061
NGC 523
NGC 524
NGC 5457
NGC 5728
NGC 5996
NGC 6104
NGC 6378
NGC 6782
NGC 6916
NGC 6962
NGC 7033
NGC 7131
NGC 7250
NGC 7499
NGC 7503
NGC 7589
NGC 7678
NGC 7721
NGC 7761
NGC 7780
NGC 783
NGC 927
NGC 958
NGC 975
PGC 128348
PGC 1361264
PGC 178739
PGC 214897
PGC 68419
PGC 68600
PGC 75726
SDSS J012648.45-011417.
SDSS J032950.83+000316.
SDSS J101502.55+074826.
SDSS J132713.81-021615.2
SDSS J133647.59+050833.
SDSS J142102.53+522942.
SDSS J142443.90+260255.
SDSS J144519.89+035017.
SDSS J160208.91+364313.
SDSS J171750.05+405252.
UGC 10743
UGC 11579
UGC 11816
UGC 11975
UGC 12158
UGC 14
UGC 2384
UGC 2828
UGC 2829
UGC 291
UGC 2998
UGC 3236
UGC 3528
UGC 3595
UGC 3787
UGC 40
UGC 4468
UGC 4974
UGC 52
UGC 595
UGC 6434
UGC 7170
UGC 849
[AGR2006] J221449.39-17
