# mass_1 mass_2 tau_1 tau_2 sf_start_1 sf_start_2 dust2_1 dust2_2 dust_index gp_filter_amps_1 gp_filter_amps_2 gp_filter_amps_3 gp_outlier_locs_1 gp_outlier_locs_2 gp_outlier_locs_3 
337395825.228 29206229.8973 87.8790685587 0.223131275842 13.2786702003 0.0513702354665 0.878120889844 0.235499638065 -0.561051002276 0.0 0.15 0.25 5.0 22.0 29.0 
179644135.04 1195013525.45 3.72599537071 0.195723440487 1.32200814834 0.214722860948 0.391748698751 0.631871137763 -2.00054238945 0.0 0.15 0.25 5.0 22.0 29.0 
3.03965287727e+12 3.07744358091e+13 0.681668212527 0.127329372246 8.45670678227 10.9818235839 0.435755488471 0.0413745038671 -1.25877814296 0.0 0.15 0.25 5.0 22.0 29.0 
105789215.199 1456694753.78 9.55839973428 1.09527238591 13.5772936733 6.09714372036 0.0 1.19824134036 -2.72339577828 0.0 0.15 0.25 5.0 22.0 29.0 
2191382158.02 23155127.2515 72.7544863347 0.287630914801 12.8279286768 5.54840518468 0.107957510709 0.522658130498 -2.19245218964 0.0 0.15 0.25 5.0 22.0 29.0 
2.5008771863e+12 70601361011.3 0.509153304101 0.23327962536 12.7172687386 4.48558598134 0.849912145667 0.44503005734 -2.05744775749 0.0 0.15 0.25 5.0 22.0 29.0 
15456820089.8 35197975090.8 7.84192924027 0.158537890327 1.36437828632 12.4630475208 0.154886322187 0.519199042735 -2.20755463095 0.0 0.15 0.25 5.0 22.0 29.0 
36097452.7742 404173432.896 5.81045172752 2.71122313104 3.9571456772 10.6884600595 1.10011622236 0.324219924872 -1.53869645082 0.0 0.15 0.25 5.0 22.0 29.0 
255168585.478 2168365284.24 26.238998421 0.203974028018 3.25541137552 11.9865367979 0.60704579602 0.506096602816 -2.04888588355 0.0 0.15 0.25 5.0 22.0 29.0 
999152336.317 16091637.4265 17.5702638374 0.781123547026 13.4221222223 0.557292608064 1.16713337464 0.0 -1.66788957451 0.0 0.15 0.25 5.0 22.0 29.0 
405348012202.0 23244846942.9 3.60341232075 1.68878775062 5.02680193135 3.06562860515 0.619058758504 0.827313925997 -1.93395784368 0.0 0.15 0.25 5.0 22.0 29.0 
175924077371.0 27715684490.4 19.2498751054 1.43743290093 13.3810569766 11.0653834639 0.724641942299 0.0 -1.4597811374 0.0 0.15 0.25 5.0 22.0 29.0 
1.77846490624e+12 95839606495.6 0.455111495914 0.117497448994 3.51999365152 7.1466188625 0.109966833786 0.123985240094 -0.970576000816 0.0 0.15 0.25 5.0 22.0 29.0 
13094254.6676 19506924.1422 67.9264705477 0.263023971613 11.410738403 6.64396472348 0.934481198042 0.680511814596 -2.08063935658 0.0 0.15 0.25 5.0 22.0 29.0 
5234930168.65 40359739894.0 6.27615909961 0.444121490426 4.81001377735 10.84492711 0.0874982340302 1.16335734976 -1.43571516751 0.0 0.15 0.25 5.0 22.0 29.0 
72380290950.5 18877418089.5 0.329096193665 0.123001289281 1.45811443814 3.67831351911 0.665403602479 0.599254046703 -0.997172121522 0.0 0.15 0.25 5.0 22.0 29.0 
224400761.907 134403343.73 8.28834930003 0.336528111776 4.81103323792 0.902178951739 0.530940103262 0.0849670779906 -2.5797398932 0.0 0.15 0.25 5.0 22.0 29.0 
463378012446.0 215085375499.0 0.328908738244 0.111899401159 3.52990353625 1.32976972743 0.0 0.785516478292 -2.17465562984 0.0 0.15 0.25 5.0 22.0 29.0 
1135152732.99 183155092.634 5.48302641191 0.482050266723 9.84499952197 7.28257701017 0.364324665946 1.19127266334 -2.87077896276 0.0 0.15 0.25 5.0 22.0 29.0 
42065799189.2 83013466.6679 74.6729638336 0.191158039697 6.20767162198 7.84846339289 0.377041718349 0.579378512097 -1.27606139911 0.0 0.15 0.25 5.0 22.0 29.0 
