# mass tage logtau dust2 delt_trunc sf_tanslope duste_gamma logzsol dust1 dust_index duste_umin duste_qpah 
5427723736.29 7.88683171846 -0.0968509454552 0.288202882424 0.989856509831 1.30497032002 0.348876926705 -0.289683986305 0.29268929123 -0.941720317771 3.40054968444 1.64527246072 
41089892602.4 3.6308597882 -0.484270387308 0.288627829332 0.977966651243 -0.552800978212 0.344142307188 -0.972124533279 0.356908225709 -0.561542722847 5.84764114341 8.12920808357 
9094482442.89 11.8648542787 -0.242213811493 0.215384350464 0.993257397173 1.2506716906 0.565132052692 -0.0989412549954 0.259862316473 -0.4 12.4612898255 9.56416531465 
3.14916464052e+12 6.17271666764 0.934720437644 0.254739059145 0.987039742093 -0.522940185256 0.519062910529 0.0879659391259 0.371448246743 -0.953288145079 7.46533164549 9.30292483722 
4526712.20245 2.37359401825 -0.239551785444 0.484253163043 0.966295836868 -1.17774688289 0.647435573343 0.119482199414 0.622829431465 -0.512003166344 14.8689505584 1.00129707034 
108501846762.0 1.41239895545 -0.590897182707 0.0917914178167 0.943358779974 0.794784256588 0.372000745328 -1.43308403147 0.174474677133 -0.573252259545 4.15924392709 5.74524970004 
1776147504.4 11.659066295 -0.498195798981 0.0749536778516 0.993138387074 1.2758513493 0.275547141901 -1.95362161324 0.0738758122852 -0.824392867274 10.7043431453 7.89843894525 
79607436.336 5.1988538408 -0.0624093650935 0.363862385996 0.984611992864 0.246074083506 0.979180508846 -1.90573032938 0.525711250388 -0.4 14.4362559108 8.64440193064 
9650218.3206 12.2237455203 0.912340116669 0.0103739124942 0.993455361136 -1.33518460871 0.432190775427 -1.4676732628 0.00963594859149 -1.4 13.2404672785 8.62723648802 
833556.423535 10.5217770186 -0.123274026382 0.0452704088444 0.992396721594 -1.12948707952 0.895670841243 -1.14158308395 0.0346292613596 -0.892486533628 8.44962432239 0.625935818664 
95357430376.1 1.28737321437 1.68837906087 0.255371439474 0.937857958277 -1.17203039044 0.179547465583 -0.436730077907 0.387578375468 -0.4 7.17750805481 5.69708506489 
