# mass logzsol tau sf_start dust2 dust_index 
48137159562.8 -1.0 0.557516564169 9.50585054411 0.0 -1.28195367953 
232401184969.0 -0.810399638983 0.655195605009 10.498007023 0.0 -1.00302434425 
71916298222.7 -0.206119549596 1.62360539412 12.2724021332 0.0 -1.24120085276 
6.79093743711e+12 -1.0 7.35786826992 13.0556799335 0.0 -0.448515742151 
194013134.382 -0.786672577964 1.78069044089 9.4717975739 0.0 -0.4 
494571264023.0 -0.756619734753 33.3273263507 3.33960175828 0.0 -0.762606025922 
20190652611.5 -0.641984562334 17.6888193363 7.127816416 0.0 -0.4 
1804252327.26 -0.411537210328 0.160753029 7.54133125147 0.351499014218 -0.4 
349565759.01 -1.0 29.199423191 11.6404637869 0.0 -0.484012240706 
52033468.8952 -0.734834838202 55.7428889517 9.93252518138 0.0 -0.671682717612 
447310493321.0 -0.0409491120621 16.4086398391 8.5202870759 0.0 -1.21749872414 
665791020.808 -0.666280263706 0.482624468282 6.01256842668 0.0 -0.73498405208 
205044236.948 -0.894611067212 57.1722132962 13.9751979685 0.0 -0.4 
138783315.863 -0.974510264092 3.88674320192 1.31999875587 0.0 -0.902991632796 
157765421708.0 -1.0 1.92961074908 8.03774745792 0.0 -0.950036533041 
216177272.212 -0.782476917464 0.981811143346 4.5999602082 0.0 -1.35480004831 
954880334.124 -1.0 0.528301360064 9.57273772703 0.0 -0.4 
431175909.214 -0.559688363073 20.6567615459 5.79198949922 0.0 -0.4 
27500582.4241 -1.0 4.68744835271 9.21221777602 0.0 -1.06912050218 
2.6653476931e+12 -0.858322425481 55.0327062258 9.98792049993 0.0 -1.17955376335 
50616237.22 -1.0 0.205204455044 4.21469558788 0.0 -1.40754249917 
11178934.1115 -0.535776115231 85.7125971153 2.40673819256 0.0 -1.41492140123 
135575208.313 -0.340862863991 9.49926478577 3.53633554637 0.022024091277 -0.67100331393 
4.60723582426e+13 -0.61756763313 4.26964599552 9.02869537567 0.0 -0.812626346889 
3717702276.38 -0.854518195014 55.3064610369 3.5487583346 0.0 -0.4 
253671075501.0 0.178237664961 6.10745538436 1.9091464807 0.0 -0.592813921714 
350628296.79 -1.0 0.701536276223 2.34175293809 0.0 -0.4 
9.22873008444e+12 -1.0 10.6124978617 4.3754229629 0.0 -0.617252716713 
227478131.376 -0.99714021665 50.3649070344 8.92425387779 0.0 -1.06076666427 
1004967633.06 -0.691759051322 14.9890785493 4.09138787688 0.0 -0.4 
3.19395609579e+13 -0.0933310763152 0.127215431429 12.5457689507 0.0 -0.4 
958075899.524 -0.115911852856 10.203558855 11.7153419953 0.0 -1.51452445422 
5.50802339755e+12 -1.0 4.63661434785 5.68991755396 0.0 -0.905162209193 
98338402740.4 -1.0 8.08688644677 7.00358048004 0.0 -0.4 
608305498.613 -1.0 32.145212015 4.62270936367 0.0 -0.4 
5.39407534497e+13 -1.0 5.08470295575 7.75380100331 0.0 -0.4 
18138694.1103 -1.0 19.294155673 2.30266646033 0.0 -2.45069046837 
3.30139328611e+12 -1.0 3.87981684922 5.19870016406 0.0 -1.18284046282 
1.5727605891e+13 -1.0 84.3619067754 9.57370476931 0.0 -0.567481052054 
849130249.275 -0.898898849709 0.141067744931 11.9459687851 0.0 -0.979794966535 
25954354.1966 -1.0 0.122034928374 3.38258693998 0.0 -0.4 
720677801497.0 -0.900910256474 0.315241215957 4.55860573337 0.0 -1.19532777344 
3648550564.97 -0.285716617662 84.8601472529 8.51335770307 0.0 -0.430155820399 
314963940.818 -1.0 1.73517716726 7.38218293687 0.0 -1.26835973011 
9.43409783241e+12 -0.591103095816 20.9300334566 4.41670363042 0.0 -0.4 
9.61112637527e+12 -0.500636548888 0.602873600023 12.5903150723 0.0 -0.546916054368 
2024217172.04 -0.364537170204 1.40190260359 6.47014245667 0.0 -0.4 
2.17592720795e+12 -1.0 3.17708971309 3.43087746613 0.0 -0.823575167294 
797008712176.0 0.0450651464317 0.485500156489 10.3775167625 0.457744408348 -0.909331583349 
2495915045.15 -1.0 0.125979306231 3.71420636507 0.0 -0.947658282249 
708910759.655 0.19 37.1337389316 3.07006797232 0.0 -0.789724912483 
209605144.561 -0.119284384367 15.0586296772 10.0063235996 0.0 -0.773860987242 
3.34440864055e+13 -1.0 0.351373436834 11.3625957817 0.0 -0.574314146201 
562817511858.0 -0.904979544678 38.4882890044 10.6437053082 0.0 -0.932169504281 
12425541749.2 0.160284884718 73.6185160865 11.6355681546 0.0 -0.4 
294909224192.0 -1.0 0.11318291955 10.2741879213 0.0 -0.990797718229 
46357402608.6 -0.735290184733 1.60446275813 4.70556906211 0.0 -0.707797011809 
1.11589166778e+13 0.187444851449 26.7899046439 13.832139742 0.0 -1.04490518031 
284083994419.0 -0.245411838871 0.953026112806 9.612987315 0.0 -1.74208867316 
6.45737556982e+13 -0.448004500086 62.8402963358 3.05215274462 0.0624585859216 -0.453872934262 
