# mass tage logtau dust2 delt_trunc sf_tanslope duste_gamma logzsol dust1 dust_index duste_umin duste_qpah 
33579067939.3 8.54235840696 0.652925996292 0.416566409247 0.997658726192 -1.47898401779 0.670604125576 -0.955403389443 0.4096898447 -0.657189986679 16.6428808926 2.60476847678 
15395960753.1 2.31615469168 0.799147923996 0.0953435737489 0.991364998171 -1.47754427185 0.23352206969 -1.84380401358 0.15852409351 -0.471654827988 2.6052596336 0.0691434234759 
33398833536.9 11.7895540138 0.908620042494 0.486432574736 0.998303582987 1.51682499923 0.315484887842 -0.0519208592453 0.656162626204 -1.01198304579 14.8432195912 0.21207745072 
16535307113.5 2.25937760785 0.53031840872 0.226337932671 0.991148004685 -1.48503088377 0.581454714997 -0.565487427268 0.181969269357 -1.4 12.0759543426 9.37021192718 
37281689954.6 3.26574408486 0.295578109071 0.13434508539 0.993875821412 -1.55961810597 0.237802183391 -1.3773514464 0.227610132193 -0.782476917464 17.0905788337 7.820721562 
31303081710.7 2.29986365065 -0.63405326097 0.378950953648 0.991303832297 1.21665432353 0.523803321144 -0.651173401752 0.562499014431 -1.3752202188 14.355212508 3.35562375518 
38506959364.1 3.69378281451 1.65516673101 0.228239375464 0.994585496494 -1.47721284183 0.0980612291459 -0.0930521330302 0.245295904157 -1.14579089811 22.810729597 7.83931565492 
12264439194.4 12.4188928744 0.650810631319 0.290709523745 0.998389550486 0.749718389021 0.958383896681 -1.42377337853 0.491385517756 -0.4 6.29393953312 2.72123658518 
25321737082.9 8.52211170818 0.250588427325 0.420466745708 0.99765316383 1.56254964395 0.0687197216326 -0.196712609612 0.78757404823 -0.448004500086 18.4851024355 2.2786977872 
82996861204.3 7.27312271842 0.285469709745 0.165337992824 0.99725014952 -1.18729226106 0.771687412069 -0.771355934839 0.309233373256 -0.4 16.5148269462 5.43463956112 
68502343866.4 7.79891457301 1.28542577827 0.264801870793 0.997435540573 1.28269461095 0.0498092412966 -1.91744313108 0.198421734232 -0.4 19.3623903572 2.60075422141 
67836229229.5 9.7011635749 0.825775801978 0.214734586667 0.997938391633 1.40152841404 0.0942856254195 -0.734149144022 0.21319985269 -1.03052551128 17.1257978145 4.13713535658 
