# mass tage logtau dust2 duste_gamma logzsol dust1 dust_index duste_umin duste_qpah 
33579067939.3 8.02581532368 -0.0968509454552 0.288202882424 0.700002212975 -0.899581741018 0.294922445044 0.00210544914784 8.65840958126 4.17210945134 
42048289535.8 3.69378281451 -0.484270387308 0.288627829332 0.856805879944 -1.34724236701 0.293307485323 -0.563974267236 12.3270453666 1.43754597908 
35561111930.3 12.0749310922 -0.242213811493 0.215384350464 0.390565564645 0.00898598829406 0.290273075376 0.160325226271 11.8279845966 9.51597867466 
68097758742.4 6.28106647517 0.934720437644 0.254739059145 0.845186843822 -0.211987940466 0.325707925771 0.315363451809 16.0053217776 7.60900327622 
15274812080.1 2.41404782628 -0.239551785444 0.484253163043 0.788459337594 -0.782140242105 0.712410667908 0.341505971864 13.1503376981 0.9441085184 
46838623725.9 1.4356747712 -0.590897182707 0.0917914178167 0.792422681858 -1.43970800244 0.0971154226721 -0.946336984631 23.3528369569 0.97706657477 
29659534914.9 11.8654653696 -0.498195798981 0.0749536778516 0.485093107709 0.0491631892167 0.0684567464863 -1.37811931052 8.16128498408 2.89170577784 
21005265827.3 5.28979926418 -0.0624093650935 0.363862385996 0.861460284403 -0.453406694258 0.716361627403 -1.3383938216 15.7838111668 4.06280450255 
16615144648.4 12.4402362566 0.912340116669 0.0103739124942 0.208901593122 -1.18076932807 0.0119122201748 -0.97502851292 7.21913397744 5.32414041291 
12656863937.0 10.7078510343 -0.123274026382 0.0452704088444 0.297293151888 -1.28491795254 0.0834562821819 -0.704538963642 4.49804610215 8.36577021074 
46171366327.2 1.30841463329 1.68837906087 0.255371439474 0.553090700015 -1.75157256377 0.196462661846 -0.119868267389 16.9938942194 0.944938437257 
18216999553.3 12.4188928744 1.51043042757 0.208059366502 0.320013846984 -0.371628333226 0.130083499805 -1.29037740059 5.79360503482 7.50042171214 
15395960753.1 7.54901888319 0.219268047277 0.473287743426 0.834562131486 -0.90297879767 0.72674630772 -1.20938486036 15.4066584373 6.61277986111 
14560994475.1 7.97011525114 0.500767245723 0.266046237777 0.823716258087 -1.56421258134 0.345120009129 0.263483765136 22.4989659438 5.17110680443 
39784689656.7 11.8648589697 -0.00941942207127 0.345972995532 0.828123231401 0.00120611357048 0.518889547053 -1.10956187338 21.5699020871 0.0687495803779 
15512691203.9 13.06624544 0.661528786424 0.312824747675 0.0306762318492 -0.390496821717 0.178367304173 0.273375419131 16.0625483661 5.33812147951 
19180055073.6 3.57522704774 -0.506571472787 0.0454377470759 0.357064055572 -1.19509560439 0.0893593088371 0.325018419982 8.36579994379 8.0140593867 
17120721774.4 10.8376313677 0.114007178013 0.478748534231 0.112492617623 -1.92257883321 0.429697506272 0.310121006351 11.6168134339 9.16122440131 
11554818481.3 1.19906591882 1.05150816485 0.32279711563 0.0649980182459 -0.986428005432 0.179011227127 -1.14693933609 8.7842273222 2.87676287305 
59580987338.1 5.75315920545 1.55985045395 0.259633561918 0.353702027481 -0.894966368225 0.196041364994 -0.350889328574 11.8857591507 0.496318817894 
12607031463.0 3.47284827296 -0.275159941433 0.312912797191 0.0561407861077 -1.16159716869 0.183828001133 -0.25524648672 4.81570821893 7.38465191532 
10160482738.1 3.78879815384 -0.0231559142769 0.433901232396 0.3040981278 -1.52587000301 0.358501713859 -1.09972024147 5.70199116106 8.12936833998 
14512426728.7 5.56476689972 0.824290936372 0.395052460162 0.0887452034627 -1.00733181367 0.709330494185 0.117417822529 2.10992250687 0.355512794705 
89519997874.4 8.52211170818 0.581896343615 0.0133442010847 0.0760940258872 -1.96137711824 0.024054727195 -1.25983542586 5.07975852297 8.42789729192 
23290675617.7 5.74550461178 -0.0535635077667 0.0198419854878 0.077597693493 -1.14665504064 0.0123055217735 -0.838352871918 7.87852971606 4.75474481199 
42577637910.5 11.4784513598 1.69792465836 0.157159405017 0.718091690247 -0.521325727781 0.292084461604 -0.0454449313356 15.3060410658 1.24651550695 
16622350022.4 10.2387657374 0.386459097859 0.00753746998623 0.790704512847 -0.010054495189 0.0123712847555 -0.835599534493 17.4269429445 0.954437983515 
71148071836.5 1.03901141507 -0.264811971543 0.391836772044 0.569308518057 -0.973588067867 0.668499317257 -0.103301941588 24.2391124077 6.22273813948 
15626025249.2 11.2196726776 1.22375359197 0.189679172437 0.446770539297 -0.637616510171 0.209725922684 0.163728080001 11.8980556859 8.02295153488 
