# mass_1 mass_2 tau_1 tau_2 sf_start_1 sf_start_2 dust2_1 dust2_2 dust_index phot_jitter 
9955186109.81 27073385.7639 0.288892222314 0.122002834005 6.04603117566 8.19754917322 0.503123386898 1.59444939344 -2.92504706949 0.0 
35869311929.2 10803745.345 14.9284725087 0.389850936305 3.76166239091 3.71133416417 0.898500059425 1.33866045174 -2.56784273853 0.0 
13803584899.9 52274640.8625 1.94490963484 0.754636022957 0.502721654615 12.3907780781 0.0 0.161946846744 -0.461790056434 0.0 
559756238143.0 5.73049329747e+12 0.756327943516 0.212294782381 3.32923056747 6.39070251299 0.89760069434 0.0 -1.92590201896 0.0 
111808030.857 72894609.2672 40.2418698945 2.31197726865 3.88805518452 2.38605179392 0.0 1.07726852437 -0.988666067116 0.0 
66336537055.2 16717082694.2 40.531361068 0.111923479546 11.1460534462 1.37285720804 0.978355242748 0.154964760782 -2.32380390243 0.0 
4907387945.27 76028733.4387 1.54969759725 0.156392489054 9.55293589042 12.1738572063 0.499090689315 0.350155737291 -2.00617787 0.0 
686971374.712 4721295579.19 22.8586346035 0.212425718567 10.9490101868 5.36415485194 0.311329198812 1.23480011655 -1.69824111873 0.0 
180570334.625 31318560.2553 15.5193350726 0.920493167254 6.93821932811 12.769084914 0.984437250632 1.15232024876 -2.40530254234 0.0 
38296002.2096 34587358.5678 1.68005322836 0.262062665702 2.26780365949 10.9750419169 0.0 0.0304893373809 -2.91307401596 0.0 
61128007597.6 533383850214.0 1.03408752822 0.101345671149 1.70775144881 1.24106772134 0.473719193922 1.2263465555 -0.772867144188 0.0 
305105292.891 61439815.4296 0.646426521345 0.197808468474 10.6106267021 12.7469818938 0.141377147109 0.661622779906 -1.11258594054 0.0 
116956861.395 876925465.261 65.5530896189 4.36282324189 8.16907109263 7.70378294615 1.03656103601 0.0 -2.52700026365 0.0 
85117885.3034 187312557.903 13.5711191159 0.235053477638 7.33324649602 8.13986666486 0.200890144258 0.257552309763 -0.759381875686 0.0 
26167567356.8 159477808.111 3.11958138075 0.41194202189 8.57307482741 12.1732292238 0.0964258568694 0.832579239289 -0.515277882015 0.0 
122101312.917 1978359867.9 10.5777906531 2.12153994702 9.1873446528 13.4173745535 0.694605796044 0.0 -2.95338989329 0.0 
409216192.424 12811984.7056 5.18280730963 0.478472171385 8.30018830933 3.58855884816 0.548782961976 0.545519966859 -1.95538097784 0.0 
214207794.9 1188294122.4 42.9333076435 15.3077942033 10.2198881762 11.109441296 1.35798602393 0.0 -0.895758321256 0.0 
22786896.5315 294006480.702 10.4263606644 0.957892226404 8.01497892018 1.12782714823 0.0 0.657923748491 -2.1514425063 0.0 
261405973998.0 376523125.645 84.481934968 0.410140581788 4.69787325725 5.84400635783 0.112319727219 0.475375873267 -0.574860205543 0.0 
